resume_text,openness,conscientiousness,extraversion,agreeableness,emotional_stability
"Software Engineer resume. Bachelor of Science. Skills: React, C++, Machine Learning, NLP. Experience: delivered 5 projects. Highlights: curious research; design thinking; creative experimentation; organized planning; community events; cross-functional collaboration; mentoring peers; conflict resolution; calm under pressure.",76,37,39,85,44
"Business Analyst resume. Master of Computer Applications. Skills: Docker, SQL, AWS, Excel. Experience: delivered 1 projects. Highlights: creative experimentation; curious research; structured documentation; public speaking; community events; empathetic communication; conflict resolution; mentoring peers; calm under pressure.",55,49,61,71,48
"Product Associate resume. Master of Computer Applications. Skills: SQL, Java, React, C++, Docker, Node.js. Experience: delivered 2 projects. Highlights: creative experimentation; innovative ideas; learning new technologies; quality assurance; reliable delivery; community events; team workshops; cross-functional collaboration; calm under pressure; resilient problem solving.",84,67,69,46,60
"Software Engineer resume. Master of Computer Applications. Skills: TensorFlow, AWS, Excel, Python, React. Experience: delivered 4 projects. Highlights: creative experimentation; curious research; quality assurance; attention to detail; team workshops; mentoring peers; conflict resolution; empathetic communication; adaptable execution.",54,58,44,80,51
"Product Associate resume. Computer Science degree. Skills: Power BI, Machine Learning, Java, Node.js, NLP. Experience: delivered 3 projects. Highlights: innovative ideas; attention to detail; stakeholder engagement; mentoring peers; conflict resolution; resilient problem solving; steady decision making; calm under pressure.",51,36,52,70,78
"Web Developer resume. Master of Computer Applications. Skills: NLP, Git, Machine Learning, Node.js, Excel, Python, SQL. Experience: delivered 3 projects. Highlights: creative experimentation; organized planning; team workshops; community events; mentoring peers; cross-functional collaboration; deadline management.",47,45,68,67,41
"Business Analyst resume. Master of Computer Applications. Skills: NLP, React, JavaScript, AWS, Excel, Machine Learning, C++, Python. Experience: delivered 4 projects. Highlights: creative experimentation; reliable delivery; community events; team workshops; conflict resolution; calm under pressure; steady decision making.",50,51,59,41,66
"Data Analyst resume. Computer Science degree. Skills: Excel, Machine Learning, C++, JavaScript. Experience: delivered 5 projects. Highlights: creative experimentation; attention to detail; community events; client presentations; cross-functional collaboration; deadline management.",40,41,54,50,52
"Software Engineer resume. Bachelor of Science. Skills: React, C++, SQL, AWS. Experience: delivered 5 projects. Highlights: curious research; quality assurance; team workshops; public speaking; mentoring peers; team support; empathetic communication; adaptable execution; deadline management.",47,53,65,73,62
"Data Analyst resume. Computer Science degree. Skills: React, Machine Learning, JavaScript, Power BI, NLP, TensorFlow, Git. Experience: delivered 4 projects. Highlights: creative experimentation; attention to detail; client presentations; cross-functional collaboration; team support; conflict resolution; adaptable execution; resilient problem solving; deadline management.",49,38,39,82,75
"Business Analyst resume. Computer Science degree. Skills: Power BI, AWS, Excel, SQL, React, TensorFlow, NLP. Experience: delivered 2 projects. Highlights: innovative ideas; structured documentation; stakeholder engagement; mentoring peers; cross-functional collaboration; team support; calm under pressure; adaptable execution.",48,43,35,75,60
"Product Associate resume. Bachelor of Technology. Skills: JavaScript, Docker, Git, Excel, React. Experience: delivered 2 projects. Highlights: creative experimentation; learning new technologies; quality assurance; client presentations; cross-functional collaboration; conflict resolution; calm under pressure.",59,44,57,60,53
"Web Developer resume. Master of Computer Applications. Skills: NLP, Power BI, Machine Learning, Python. Experience: delivered 1 projects. Highlights: learning new technologies; innovative ideas; structured documentation; community events; stakeholder engagement; empathetic communication; resilient problem solving; steady decision making; calm under pressure.",52,33,59,53,87
"Machine Learning Intern resume. Bachelor of Science. Skills: NLP, Python, C++, SQL, Docker, Excel, Machine Learning, AWS. Experience: delivered 3 projects. Highlights: curious research; organized planning; quality assurance; structured documentation; client presentations; community events; empathetic communication; mentoring peers; calm under pressure; resilient problem solving.",41,70,63,70,67
"Machine Learning Intern resume. Bachelor of Science. Skills: React, Machine Learning, Node.js, JavaScript, AWS, SQL, C++, TensorFlow. Experience: delivered 4 projects. Highlights: innovative ideas; structured documentation; public speaking; client presentations; cross-functional collaboration; deadline management; calm under pressure; adaptable execution.",44,46,56,44,77
"Business Analyst resume. Computer Science degree. Skills: NLP, React, Power BI, AWS, Java, Node.js. Experience: delivered 3 projects. Highlights: design thinking; creative experimentation; quality assurance; reliable delivery; structured documentation; client presentations; empathetic communication; team support; cross-functional collaboration; calm under pressure; resilient problem solving; deadline management.",71,78,54,76,74
"Machine Learning Intern resume. Bachelor of Science. Skills: Power BI, Docker, Machine Learning, Python, SQL, TensorFlow, JavaScript, C++. Experience: delivered 4 projects. Highlights: creative experimentation; organized planning; public speaking; team workshops; community events; team support; empathetic communication; deadline management.",39,37,73,60,47
"Software Engineer resume. Bachelor of Science. Skills: C++, React, JavaScript, Excel, Docker. Experience: delivered 3 projects. Highlights: creative experimentation; reliable delivery; team workshops; empathetic communication; cross-functional collaboration; steady decision making; deadline management; adaptable execution.",44,35,54,59,86
"Machine Learning Intern resume. Master of Computer Applications. Skills: React, Python, TensorFlow, C++, Docker. Experience: delivered 1 projects. Highlights: innovative ideas; curious research; design thinking; organized planning; structured documentation; client presentations; stakeholder engagement; community events; empathetic communication; mentoring peers; conflict resolution; steady decision making.",87,60,75,81,43
"Software Engineer resume. Computer Science degree. Skills: Power BI, Excel, AWS, Docker, NLP, Machine Learning. Experience: delivered 5 projects. Highlights: learning new technologies; innovative ideas; creative experimentation; organized planning; public speaking; team workshops; conflict resolution; team support; cross-functional collaboration; calm under pressure; deadline management.",78,46,53,77,63
"Machine Learning Intern resume. Computer Science degree. Skills: AWS, TensorFlow, SQL, Power BI, Node.js, Machine Learning, Java, Docker. Experience: delivered 3 projects. Highlights: creative experimentation; quality assurance; community events; empathetic communication; team support; conflict resolution; calm under pressure; steady decision making.",45,56,35,82,58
"Product Associate resume. Computer Science degree. Skills: React, Docker, Excel, NLP, Power BI, AWS. Experience: delivered 4 projects. Highlights: learning new technologies; curious research; quality assurance; community events; team support; mentoring peers; adaptable execution; calm under pressure; resilient problem solving.",69,39,45,64,70
"Software Engineer resume. Computer Science degree. Skills: Python, C++, React, Git, NLP. Experience: delivered 4 projects. Highlights: curious research; creative experimentation; design thinking; quality assurance; community events; public speaking; cross-functional collaboration; empathetic communication; steady decision making; resilient problem solving; calm under pressure.",79,48,64,59,85
"Product Associate resume. Computer Science degree. Skills: React, Java, SQL, Git, JavaScript, Power BI, Machine Learning, AWS. Experience: delivered 5 projects. Highlights: learning new technologies; design thinking; curious research; attention to detail; quality assurance; client presentations; cross-functional collaboration; mentoring peers; conflict resolution; resilient problem solving; deadline management; calm under pressure.",72,71,47,86,78
"Data Analyst resume. Bachelor of Science. Skills: React, Node.js, AWS, Excel, Machine Learning, SQL. Experience: delivered 2 projects. Highlights: innovative ideas; curious research; reliable delivery; community events; stakeholder engagement; public speaking; empathetic communication; team support; deadline management; calm under pressure.",58,45,82,70,66
"Product Associate resume. Bachelor of Technology. Skills: C++, Excel, NLP, Power BI, Python, Java, Docker. Experience: delivered 3 projects. Highlights: creative experimentation; learning new technologies; structured documentation; reliable delivery; quality assurance; stakeholder engagement; mentoring peers; cross-functional collaboration; conflict resolution; deadline management.",60,84,39,77,44
"Data Analyst resume. Bachelor of Technology. Skills: TensorFlow, C++, Excel, Docker, JavaScript, Git. Experience: delivered 4 projects. Highlights: design thinking; quality assurance; attention to detail; structured documentation; team workshops; public speaking; mentoring peers; conflict resolution; calm under pressure; deadline management.",52,77,61,60,63
"Software Engineer resume. Computer Science degree. Skills: AWS, Excel, Docker, Node.js, Java, Power BI. Experience: delivered 1 projects. Highlights: learning new technologies; curious research; design thinking; attention to detail; organized planning; public speaking; stakeholder engagement; team workshops; empathetic communication; deadline management.",67,72,80,43,51
"Product Associate resume. Master of Computer Applications. Skills: Git, TensorFlow, SQL, NLP, React. Experience: delivered 3 projects. Highlights: creative experimentation; design thinking; learning new technologies; attention to detail; quality assurance; client presentations; conflict resolution; empathetic communication; resilient problem solving.",83,65,29,58,45
